source,llama3-8b::aime,llama3-8b::gpqa,llama3-8b::gsm8k,llama3-8b::hotpot-qa,llama3-8b::math500,llama3-8b::mmlu-pro,llama3-8b::sci-qa,qwen3-4b::aime,qwen3-4b::gpqa,qwen3-4b::gsm8k,qwen3-4b::hotpot-qa,qwen3-4b::math500,qwen3-4b::mmlu-pro,qwen3-4b::sci-qa,qwen3-8b::aime,qwen3-8b::gpqa,qwen3-8b::gsm8k,qwen3-8b::hotpot-qa,qwen3-8b::math500,qwen3-8b::mmlu-pro,qwen3-8b::sci-qa
llama3-8b::aime,0.9999999999999996,0.664690573682193,0.4361032710732652,0.43802498172528775,0.530183851170613,0.5130533252726566,0.3981971604748319,-0.28701402041675567,-0.1257230453153524,0.2203964810507521,-0.507722256016053,-0.7646420554348741,-0.7654268070391883,-0.24415288901260937,-0.6962586839791676,-0.6857014965483137,-0.7168157070984631,-0.26071795771549106,-0.8995570104784736,-0.5169773368189742,-0.689905128878034
llama3-8b::gpqa,0.664690573682193,0.9999999999999999,0.8969739994478086,0.904105132013284,0.9297110401489022,0.9770338676671518,0.837639440538159,-0.11948136534692887,-0.5289142614013763,-0.49968005487924727,-0.8472939023702538,-0.7903326971677392,-0.892730299506618,-0.7057993817815552,-0.46581086152004947,-0.8882592250978513,-0.8353959691907377,-0.7850235974453956,-0.736936452030587,-0.8208349040728661,-0.8697058151673861
llama3-8b::gsm8k,0.4361032710732652,0.8969739994478086,0.9999999999999999,0.9963310343198735,0.9782529131990382,0.9309632251005368,0.9454820863164326,-0.29216720581038114,-0.5399514246862104,-0.6526229838194396,-0.6497068012973423,-0.6704691772426793,-0.8227379839360733,-0.6205829405597741,-0.41460908809662017,-0.8110688844560834,-0.6916115029235806,-0.8608986827382811,-0.5133823688427471,-0.8400055662872853,-0.7258411994729403
llama3-8b::hotpot-qa,0.43802498172528775,0.904105132013284,0.9963310343198735,1.0,0.9895953879933518,0.943007614187939,0.9655667648177677,-0.29779402375564856,-0.49026611030384876,-0.6325387465112858,-0.6564891474721831,-0.6342861253871953,-0.8109432112726584,-0.6642487580965029,-0.4584203772749885,-0.83291825595967,-0.704821088078107,-0.8647956411593045,-0.5382227493148884,-0.8693343045637194,-0.736438166855648
llama3-8b::math500,0.530183851170613,0.9297110401489022,0.9782529131990382,0.9895953879933518,0.9999999999999999,0.9507257159065713,0.9707298926270163,-0.3272491990654352,-0.4234040628012546,-0.5345666970074904,-0.6848920029208744,-0.6409180362554908,-0.8352524181246839,-0.6820208711786837,-0.5617613162342882,-0.8830380334537966,-0.7615141827397787,-0.8394840170991162,-0.6311177765862495,-0.9006927567729085,-0.7837552523998358
llama3-8b::mmlu-pro,0.5130533252726566,0.9770338676671518,0.9309632251005368,0.943007614187939,0.9507257159065713,0.9999999999999998,0.891974066308647,-0.1057208603190666,-0.5110059549612777,-0.6244887530004731,-0.8025834313378932,-0.6942931738323165,-0.8339076445324046,-0.7940385683346276,-0.4083765240786675,-0.8561240645470481,-0.7617581514747039,-0.8387854372968006,-0.6383121665439826,-0.846848031088878,-0.8058892632355693
llama3-8b::sci-qa,0.3981971604748319,0.837639440538159,0.9454820863164326,0.9655667648177677,0.9707298926270163,0.891974066308647,1.0,-0.327990994989286,-0.34197136172587755,-0.5588030126605504,-0.6054426498471831,-0.4941318804788918,-0.7287331538473392,-0.7178078681458528,-0.5534481557703936,-0.828342615666156,-0.6721995468544777,-0.8183778395597241,-0.540354695242458,-0.8890445754481766,-0.694874045590688
qwen3-4b::aime,-0.28701402041675567,-0.11948136534692887,-0.29216720581038114,-0.29779402375564856,-0.3272491990654352,-0.1057208603190666,-0.327990994989286,1.0,-0.4128657848962709,-0.29093023182782857,-0.31635255045217425,0.0761403604087143,0.3760373917910238,-0.06198322840440672,0.6766992503044135,0.12382058605802063,-0.029952390199137015,-0.0772653420391661,0.11266781692565574,0.22825976415037968,-0.08791100149729007
qwen3-4b::gpqa,-0.1257230453153524,-0.5289142614013763,-0.5399514246862104,-0.49026611030384876,-0.4234040628012546,-0.5110059549612777,-0.34197136172587755,-0.4128657848962709,1.0,0.7290448424560225,0.6877428679565364,0.6431628604104158,0.4407041743153822,0.16061947595748838,-0.3845592122083885,0.34172202485275366,0.4379687161699001,0.5703347384818378,0.09010522998113965,0.20292927393808624,0.5127220684725587
qwen3-4b::gsm8k,0.2203964810507521,-0.49968005487924727,-0.6526229838194396,-0.6325387465112858,-0.5345666970074904,-0.6244887530004731,-0.5588030126605504,-0.29093023182782857,0.7290448424560225,1.0000000000000002,0.4841404439974287,0.3567559385144436,0.34530580270869266,0.5629302001146661,-0.3584608249811011,0.2811466902642049,0.1957676272056191,0.6730427788318171,-0.09147469163379197,0.3550879112151569,0.29044430775506347
qwen3-4b::hotpot-qa,-0.507722256016053,-0.8472939023702538,-0.6497068012973423,-0.6564891474721831,-0.6848920029208744,-0.8025834313378932,-0.6054426498471831,-0.31635255045217425,0.6877428679565364,0.4841404439974287,1.0,0.6608829663537948,0.6444236332503291,0.5886674297778575,0.1554919160996879,0.7566969450858104,0.8161606451092298,0.683179648283126,0.6077735511689335,0.5899169950497697,0.8650751358555829
qwen3-4b::math500,-0.7646420554348741,-0.7903326971677392,-0.6704691772426793,-0.6342861253871953,-0.6409180362554908,-0.6942931738323165,-0.4941318804788918,0.0761403604087143,0.6431628604104158,0.3567559385144436,0.6608829663537948,0.9999999999999999,0.9024464238196931,0.3437350101172961,0.2325099597498194,0.5938293824487898,0.6159981699327683,0.46093199767432735,0.6199337137860257,0.4403322336146079,0.6545793597276182
qwen3-4b::mmlu-pro,-0.7654268070391883,-0.892730299506618,-0.8227379839360733,-0.8109432112726584,-0.8352524181246839,-0.8339076445324046,-0.7287331538473392,0.3760373917910238,0.4407041743153822,0.34530580270869266,0.6444236332503291,0.9024464238196931,1.0,0.5373242808808372,0.5046678245470686,0.70215309289129,0.6333167621235164,0.5176975827366935,0.6561676636334459,0.6214375196494639,0.6599185927273061
qwen3-4b::sci-qa,-0.24415288901260937,-0.7057993817815552,-0.6205829405597741,-0.6642487580965029,-0.6820208711786837,-0.7940385683346276,-0.7178078681458528,-0.06198322840440672,0.16061947595748838,0.5629302001146661,0.5886674297778575,0.3437350101172961,0.5373242808808372,1.0,0.30480037029202384,0.5738291801197903,0.4152214177543109,0.5567924217561612,0.4572262814517114,0.6438217472976049,0.4722216632612038
qwen3-8b::aime,-0.6962586839791676,-0.46581086152004947,-0.41460908809662017,-0.4584203772749885,-0.5617613162342882,-0.4083765240786675,-0.5534481557703936,0.6766992503044135,-0.3845592122083885,-0.3584608249811011,0.1554919160996879,0.2325099597498194,0.5046678245470686,0.30480037029202384,0.9999999999999999,0.6412804765054888,0.5338687296948464,0.23748824696206172,0.7283966152348271,0.6558733729600686,0.4675538623402059
qwen3-8b::gpqa,-0.6857014965483137,-0.8882592250978513,-0.8110688844560834,-0.83291825595967,-0.8830380334537966,-0.8561240645470481,-0.828342615666156,0.12382058605802063,0.34172202485275366,0.2811466902642049,0.7566969450858104,0.5938293824487898,0.70215309289129,0.5738291801197903,0.6412804765054888,1.0000000000000002,0.9595817088163887,0.8436989951332797,0.8652058027904826,0.9492097821366426,0.9561087847772584
qwen3-8b::gsm8k,-0.7168157070984631,-0.8353959691907377,-0.6916115029235806,-0.704821088078107,-0.7615141827397787,-0.7617581514747039,-0.6721995468544777,-0.029952390199137015,0.4379687161699001,0.1957676272056191,0.8161606451092298,0.6159981699327683,0.6333167621235164,0.4152214177543109,0.5338687296948464,0.9595817088163887,0.9999999999999999,0.7816519333611983,0.8650734238791593,0.8340321173376374,0.9937379698043745
qwen3-8b::hotpot-qa,-0.26071795771549106,-0.7850235974453956,-0.8608986827382811,-0.8647956411593045,-0.8394840170991162,-0.8387854372968006,-0.8183778395597241,-0.0772653420391661,0.5703347384818378,0.6730427788318171,0.683179648283126,0.46093199767432735,0.5176975827366935,0.5567924217561612,0.23748824696206172,0.8436989951332797,0.7816519333611983,1.0000000000000002,0.5127740089047236,0.8779083700940276,0.8130870726211209
qwen3-8b::math500,-0.8995570104784736,-0.736936452030587,-0.5133823688427471,-0.5382227493148884,-0.6311177765862495,-0.6383121665439826,-0.540354695242458,0.11266781692565574,0.09010522998113965,-0.09147469163379197,0.6077735511689335,0.6199337137860257,0.6561676636334459,0.4572262814517114,0.7283966152348271,0.8652058027904826,0.8650734238791593,0.5127740089047236,1.0,0.756498408248014,0.8411198118175315
qwen3-8b::mmlu-pro,-0.5169773368189742,-0.8208349040728661,-0.8400055662872853,-0.8693343045637194,-0.9006927567729085,-0.846848031088878,-0.8890445754481766,0.22825976415037968,0.20292927393808624,0.3550879112151569,0.5899169950497697,0.4403322336146079,0.6214375196494639,0.6438217472976049,0.6558733729600686,0.9492097821366426,0.8340321173376374,0.8779083700940276,0.756498408248014,1.0000000000000002,0.830035226370477
qwen3-8b::sci-qa,-0.689905128878034,-0.8697058151673861,-0.7258411994729403,-0.736438166855648,-0.7837552523998358,-0.8058892632355693,-0.694874045590688,-0.08791100149729007,0.5127220684725587,0.29044430775506347,0.8650751358555829,0.6545793597276182,0.6599185927273061,0.4722216632612038,0.4675538623402059,0.9561087847772584,0.9937379698043745,0.8130870726211209,0.8411198118175315,0.830035226370477,0.9999999999999999
